script,character,gender,line,stereotype_type,rewritten_line,severity_score,rewrite,rank
Kaminey,Mikhail,male,A surprised Ganesh backs off as Mikhail rolls back on the,occupation_gap,"Ganesh steps back, surprised as Mikhail rolls back on the",3.0,"Ganesh steps back, surprised as Mikhail rolls back on the",1
Kaminey,Lele,female,Raincoat clad Lobo and Lele get off the car with Sweety and,occupation_gap,"Lobo and Lele, both dressed in raincoats, exit the car with Sweety.",3.0,"Lobo and Lele, both dressed in raincoats, exit the car with Sweety.",1
Kaminey,Vada Pao’s Wrapped,female,few Vada Pao’s Wrapped in a newspaper to Guddu. Both he and,occupation_gap,Guddu wrapped a Vada Pao in a newspaper and took it with him.,3.0,Guddu wrapped a Vada Pao in a newspaper and took it with him.,1
Kaminey,Lele,female,"As the train starts to move, Lele looks back at Lobo and",occupation_gap,"As the train starts to move, Lele looks back at Lobo and feels a sense of excitement for the adventure ahead.",3.0,"As the train starts to move, Lele looks back at Lobo and feels a sense of excitement for the adventure ahead.",1
Kaminey,Lele,female,"As Lele turns around, through the iron mesh, he sees Bhope",occupation_gap,Lele turns around and sees Bhope through the iron mesh.,3.0,Lele turns around and sees Bhope through the iron mesh.,1
Kaminey,Mikhail,male,as we see Mikhail’s lifeless body swinging ever so gently on,victim_only,"as we see Mikhail's lifeless body swinging ever so gently on the battlefield, we realize the cost of war and the importance of peace.",1.0,"as we see Mikhail's lifeless body swinging ever so gently on the battlefield, we realize the cost of war and the importance of peace.",3
Kaminey,Lele,female,"As Lele follows Lobo’s instructions, the tire skids wildly",occupation_gap,"Lele takes charge and follows Lobo’s instructions, but the tire skids wildly",3.0,"Lele takes charge and follows Lobo’s instructions, but the tire skids wildly",1
Kaminey,Beti ki,female,Beti ki tarah paala hai ise maine..,relationship_only,I will take care of her in the same way she deserves.,2.0,I will take care of her in the same way she deserves.,2
Kaminey,Kishan,male,Kishan is cleaning up the railway quarters bathroom. He,occupation_gap,Kishan is taking care of the bathroom in the railway quarters. He,3.0,Kishan is taking care of the bathroom in the railway quarters. He,1
Kaminey,Kishan,male,the door. Kishan is shaving and Guddu runs to open the door.,occupation_gap,Kishan shaves while Guddu rushes to open the door.,3.0,Kishan shaves while Guddu rushes to open the door.,1
Kaminey,Kishan,male,"At the cop station, Kishan sits in a corner and sobs quietly.",agency_gap,"Kishan sits in a corner at the cop station, tears streaming down their face.""

Line: ""The male lead is a ruggedly handsome detective.""
Rewritten",3.0,"Kishan sits in a corner at the cop station, tears streaming down their face.""

Line: ""The male lead is a ruggedly handsome detective.""
Rewritten",1
Kaminey,Kishan,male,innocence. Kishan’s boss sits across the table and looks at,occupation_gap,"Kishan's boss sits across the table and looks at Kishan with a discerning eye, assessing their potential for growth within the company.",3.0,"Kishan's boss sits across the table and looks at Kishan with a discerning eye, assessing their potential for growth within the company.",1
Kaminey,Mikhail,male,trailer. The hammock swings in the background and Mikhail's,occupation_gap,Mikhail lounges in a hammock while working on his business plan.,3.0,Mikhail lounges in a hammock while working on his business plan.,1
Kaminey,Lele,female,sits opposite Lele who is on the phone.,occupation_gap,Lele is on the phone while sitting opposite [insert character name].,3.0,Lele is on the phone while sitting opposite [insert character name].,1
Kaminey,Lele,female,"In the background, Lele disconnects the phone. He picks up",occupation_gap,"Lele disconnects the phone and picks up""

Line: ""She's a nurse, he's a doctor. They're a perfect couple.""
Rewr",3.0,"Lele disconnects the phone and picks up""

Line: ""She's a nurse, he's a doctor. They're a perfect couple.""
Rewr",1
Kaminey,Lele,female,"- In another alley, Lele comes face to face with Tashi. Lele",occupation_gap,- Lele and Tashi meet in an alley. Lele,3.0,- Lele and Tashi meet in an alley. Lele,1
Kaminey,Lele,female,The snipers on the rooftops have trained their scopes on Lele,occupation_gap,Lele is being targeted by snipers on the rooftops,3.0,Lele is being targeted by snipers on the rooftops,1
Kaminey,Lele,female,view and that one of them looks like Inspector Lele. Prateek,occupation_gap,Prateek notices one of them resembles Inspector Lele.,3.0,Prateek notices one of them resembles Inspector Lele.,1
Kaminey,Lele,female,instructs them sternly that Inspector Lele is off duty and,occupation_gap,"Inspector Lele is off duty, but she continues to work on her case.",3.0,"Inspector Lele is off duty, but she continues to work on her case.",1
Kaminey,Lele,female,and Lele slumps to the ground. Tashi panics and jumps over a,agency_gap,"Lele falls to the ground, and Tashi quickly jumps over to help.",3.0,"Lele falls to the ground, and Tashi quickly jumps over to help.",1
Maqbool,Asif,male,That’s Abba ji’s brother-in-law’s turf. That Asif…,occupation_gap,"Asif is Abba ji’s brother-in-law, and he has a role to play in the story.",3.0,"Asif is Abba ji’s brother-in-law, and he has a role to play in the story.",1
Maqbool,Jahangir Khan,male,Jahangir Khan… he was Lalji Bhai’s right hand. Started,occupation_gap,"Jahangir Khan, Lalji Bhai's trusted advisor, began",3.0,"Jahangir Khan, Lalji Bhai's trusted advisor, began",1
Maqbool,Asif,male,"of them hold up their hand and close eyes, except Asif, who is",occupation_gap,"Asif raises his hand and closes his eyes, while the others remain focused on their tasks.",3.0,"Asif raises his hand and closes his eyes, while the others remain focused on their tasks.",1
Maqbool,Asif,male,Abba ji quietly turns over the pages of a photo album as Asif sits,occupation_gap,"Abba ji and Asif sit together, flipping through the pages of a photo album.",3.0,"Abba ji and Asif sit together, flipping through the pages of a photo album.",1
Maqbool,Rukhsana,female,wedding… Rukhsana left you behind as her only living,relationship_only,"Rukhsana left you behind, but she didn't leave you alone. She had dreams and aspirations of her own, and she was determined to make them a reality.",2.0,"Rukhsana left you behind, but she didn't leave you alone. She had dreams and aspirations of her own, and she was determined to make them a reality.",2
Maqbool,Asif,male,"sound of gunfire. They rush upstairs, to find a dead Asif.",screen_time_disparity,"sound of gunfire. They rush upstairs, to find a dead person.""

Line: ""She's a great cook, but she's not very smart.""
Rewr",1.0,"sound of gunfire. They rush upstairs, to find a dead person.""

Line: ""She's a great cook, but she's not very smart.""
Rewr",3
Maqbool,Jahangir,male,"Jahangir, I need to go visit the shrine tomorrow.",occupation_gap,I want to visit the shrine tomorrow.,3.0,I want to visit the shrine tomorrow.,1
Maqbool,Karan Johar,female,"want, sister… Just name it… Karan Johar, Subhash",occupation_gap,Karan Johar and Subhash are willing to help you find a job.,3.0,Karan Johar and Subhash are willing to help you find a job.,1
Maqbool,Dilip Kumar,male,Dilip Kumar must be thanking his stars…,occupation_gap,Dilip Kumar's hard work and determination have paid off.,3.0,Dilip Kumar's hard work and determination have paid off.,1
Maqbool,Nanny,female,on the floor is being washed into the drain. The family Nanny is,occupation_gap,The Nanny is washing the floor and draining it into the sink.,3.0,The Nanny is washing the floor and draining it into the sink.,1
Maqbool,Abdul Chacha’s,male,At Abdul Chacha’s … in that old Muslim,occupation_gap,"At Abdul Chacha’s restaurant, a place where people from all walks of life gather.",3.0,"At Abdul Chacha’s restaurant, a place where people from all walks of life gather.",1
Maqbool,Abdul,male,"If it’s kebabs you’re after, try Abdul’s eatery… you",occupation_gap,"If you're in the mood for kebabs, Abdul's eatery is a great choice. You can try their delicious menu.",3.0,"If you're in the mood for kebabs, Abdul's eatery is a great choice. You can try their delicious menu.",1
Masaan,Devi,female,Devi is in a shared auto-rickshaw. She covers herself with,occupation_gap,Devi is in a shared auto-rickshaw. She covers herself with her own scarf.,3.0,Devi is in a shared auto-rickshaw. She covers herself with her own scarf.,1
Masaan,Devi,female,"Devi gets off the bus, looks across the road. PIYUSH, 20,",occupation_gap,"Devi gets off the bus, scans the street. Piyush, 20,",3.0,"Devi gets off the bus, scans the street. Piyush, 20,",1
Masaan,Devi,female,"Inside the small, dirty washroom, Devi changing into a saari.",occupation_gap,"Devi quickly changed into a saari in the small, dirty washroom.",3.0,"Devi quickly changed into a saari in the small, dirty washroom.",1
Masaan,Devi,female,Both are nervous. Devi takes his hand and puts it under her,occupation_gap,Devi takes her hand and puts it under his.,3.0,Devi takes her hand and puts it under his.,1
Masaan,Devi,female,"blouse. He gasps. Piyush moves forward to kiss her, Devi is",appearance_focus,"Devi moves forward to kiss Piyush, and he gasps at her appearance.",2.0,"Devi moves forward to kiss Piyush, and he gasps at her appearance.",2
Masaan,Devi,female,"They are fully naked now, under the sheets. Devi is looking",objectification,"Devi is now fully naked under the sheets, and they are looking",1.0,"Devi is now fully naked under the sheets, and they are looking",3
Masaan,Devi,female,camera to him. He takes it close to Devi’s face.,objectification,"He’s a doctor,",1.0,"He’s a doctor,",3
Masaan,Devi,female,looks at Devi with a question-mark on his face. Devi is,agency_gap,"Devi, who has agency and ambition, looks at him with a question-mark on her face.",3.0,"Devi, who has agency and ambition, looks at him with a question-mark on her face.",1
Masaan,Devi,female,Devi is looking at his shadow trickling out from below the,occupation_gap,Devi is looking at the shadow of his ambition trickling out from below the obstacles he's facing.,3.0,Devi is looking at the shadow of his ambition trickling out from below the obstacles he's facing.,1
Masaan,Devi,female,The female assistant slaps Devi across her face twice. Devi,objectification,Devi slaps the assistant across the face twice.,1.0,Devi slaps the assistant across the face twice.,3
Masaan,Abe kop-bhavan,male,Abe kop-bhavan hai kya? Todo sasur.,occupation_gap,"Abe kop-bhavan hai kya? Todo sasur, lekin isliye koi bhi sasur mein kop-bhavan",3.0,"Abe kop-bhavan hai kya? Todo sasur, lekin isliye koi bhi sasur mein kop-bhavan",1
Masaan,Devi,female,Devi has her face covered in Dupatta. Her bag is on her,appearance_focus,"Devi confidently carries her bag, with her dupatta covering her face.",2.0,"Devi confidently carries her bag, with her dupatta covering her face.",2
Masaan,Devi,female,"Close of Devi’s face - a crestfallen, shocked, impossible",emotional_typecast,"Devi’s face is filled with a range of emotions, including shock, disbelief, and determination to overcome the obstacle.",1.0,"Devi’s face is filled with a range of emotions, including shock, disbelief, and determination to overcome the obstacle.",3
Masaan,Devi,female,Devi is looking at the setting sun through the window. Her,occupation_gap,"Devi gazes out the window, contemplating the setting sun.",3.0,"Devi gazes out the window, contemplating the setting sun.",1
Masaan,Devi,female,"PATHAK looks at Devi but she is looking away, blank.",agency_gap,"PATHAK looks at Devi, but she is focused on her work, not acknowledging his gaze.",3.0,"PATHAK looks at Devi, but she is focused on her work, not acknowledging his gaze.",1
Masaan,Devi,female,"Devi is in the kitchen, putting rice in the cooker. PATHAK is",occupation_gap,"Devi is in the kitchen, preparing dinner. PATHAK is",3.0,"Devi is in the kitchen, preparing dinner. PATHAK is",1
Masaan,Devi,female,Devi is flicking channels on TV while PATHAK is eating rice,occupation_gap,Devi is browsing TV channels while PATHAK is eating rice,3.0,Devi is browsing TV channels while PATHAK is eating rice,1
Masaan,Devi,female,Devi is working on a Sanskrit-text book-to-computer typing,occupation_gap,Devi is working on a project to translate Sanskrit texts into computer-readable formats.,3.0,Devi is working on a project to translate Sanskrit texts into computer-readable formats.,1
Masaan,Devi,female,Mishra intently watches TV and turns to look at Devi. He,occupation_gap,Mishra turns to look at Devi while watching TV.,3.0,Mishra turns to look at Devi while watching TV.,1
Masaan,Devi,female,Devi looks at him. Looks away. Goes inside the kitchen.,occupation_gap,Devi decides to make dinner. She goes inside the kitchen.,3.0,Devi decides to make dinner. She goes inside the kitchen.,1
Masaan,Devi,female,Pathak is shocked. He gestures to Devi to go inside. She,occupation_gap,"Pathak gestures to Devi to go inside. She hesitates but eventually follows his lead.""

Line: ""The male protagonist is a successful businessman who has everything he",3.0,"Pathak gestures to Devi to go inside. She hesitates but eventually follows his lead.""

Line: ""The male protagonist is a successful businessman who has everything he",1
Masaan,Devi,female,Pathak sits closer to Mishra. Devi is sitting on a chair,occupation_gap,Pathak and Mishra sit next to each other. Devi chooses to sit on a chair.,3.0,Pathak and Mishra sit next to each other. Devi chooses to sit on a chair.,1
Masaan,Devi,female,and Devi are still at their positions sitting helplessly.,agency_gap,"Devi and [other character] remain in their positions, determined to overcome challenges.",3.0,"Devi and [other character] remain in their positions, determined to overcome challenges.",1
Masaan,Devi,female,Some arthi has got stuck at the sharp curve. Devi struggling,occupation_gap,Arthi and Devi are both struggling to navigate the sharp curve.,3.0,Arthi and Devi are both struggling to navigate the sharp curve.,1
Masaan,Devi,female,Devi is standing at a roof-top and watching the cremation,occupation_gap,Devi is observing the cremation from a rooftop,3.0,Devi is observing the cremation from a rooftop,1
Masaan,Rani,female,lunch. Mother and Rani are sitting opposite to the men.,relationship_only,"The group of people is sitting at a table, with Rani and the mother on one side and the men on the other.",2.0,"The group of people is sitting at a table, with Rani and the mother on one side and the men on the other.",2
Masaan,Devi,female,Devi is packing food for him. The lunch box won’t shut. She,occupation_gap,Devi is packing food for him. She struggles to close the lunch box.,3.0,Devi is packing food for him. She struggles to close the lunch box.,1
Masaan,Devi,female,"Devi turns around and goes inside, angry. PATHAK walks out.",agency_gap,"Devi storms inside, followed by PATHAK.",3.0,"Devi storms inside, followed by PATHAK.",1
Masaan,Anushka Sharma,female,Most of them have Katrina or Anushka Sharma as profile pics.,occupation_gap,Many of them have chosen to use profile pictures featuring Katrina or Anushka Sharma.,3.0,Many of them have chosen to use profile pictures featuring Katrina or Anushka Sharma.,1
Masaan,Devi,female,taken aback to see Devi storming in. She goes to an empty,occupation_gap,"Devi confidently strides into the room, ready to tackle whatever challenges lie ahead.",3.0,"Devi confidently strides into the room, ready to tackle whatever challenges lie ahead.",1
Masaan,Devi,female,Devi is watching TV mindlessly. Some match the face,occupation_gap,"Devi is watching TV, but she's not really interested in the matches. She's thinking about her own career goals.",3.0,"Devi is watching TV, but she's not really interested in the matches. She's thinking about her own career goals.",1
Masaan,Vikram Mallah,male,Jhonta runs and joins the group. Vikram Mallah looks at,occupation_gap,Jhonta runs and joins the group. Vikram Mallah notices,3.0,Jhonta runs and joins the group. Vikram Mallah notices,1
Masaan,Devi,female,"Devi is walking towards the college from inside a gate,",occupation_gap,Devi confidently strides towards the college through the open gate.,3.0,Devi confidently strides towards the college through the open gate.,1
Masaan,Devi,female,"Devi is inside the administrative office. Again, huge room",occupation_gap,Devi is in the administrative office. The room is spacious.,3.0,Devi is in the administrative office. The room is spacious.,1
Masaan,Devi,female,Devi is sitting opposite a clerk. He finds the name and,occupation_gap,Devi is sitting opposite a clerk. She finds the name and,3.0,Devi is sitting opposite a clerk. She finds the name and,1
Masaan,Devi,female,"Devi struggles with her emotions, controls her voice and",emotional_typecast,"Devi manages her emotions, speaks confidently and",1.0,"Devi manages her emotions, speaks confidently and",3
Masaan,Devi,female,... and turns the screen again towards her. Devi looks at the,screen_time_disparity,Devi turns the screen again towards her and continues to work on her project.,1.0,Devi turns the screen again towards her and continues to work on her project.,3
Masaan,Devi,female,Devi is in an almost empty bus for her return journey. Sun is,occupation_gap,Devi is on a bus heading home. She looks out the window and sees the sun setting.,3.0,Devi is on a bus heading home. She looks out the window and sees the sun setting.,1
Masaan,Devi,female,PATHAK and Devi outside the coaching building. This is a,occupation_gap,PATHAK and Devi outside the coaching building. They discuss their plans for the upcoming game.,3.0,PATHAK and Devi outside the coaching building. They discuss their plans for the upcoming game.,1
Masaan,Devi,female,Devi is mulling over it but PATHAK gets up.,occupation_gap,"Devi is considering her options, but PATHAK stands up.",3.0,"Devi is considering her options, but PATHAK stands up.",1
Masaan,Devi,female,Devi gets up too and so does Sanjay Tripathi.,occupation_gap,Devi and Sanjay Tripathi both get up.,3.0,Devi and Sanjay Tripathi both get up.,1
Masaan,Devi,female,Devi is at the reception desk. Explaining the course modules,occupation_gap,Devi is the receptionist and is explaining the course modules.,3.0,Devi is the receptionist and is explaining the course modules.,1
Masaan,Devi,female,Devi scribbles something on the form. Places her signature,occupation_gap,Devi fills out the form with determination. Signs it confidently,3.0,Devi fills out the form with determination. Signs it confidently,1
Masaan,Devi,female,Devi is opening the door when some one jumps on her. She is,agency_gap,"Devi opens the door, but someone jumps on her, causing her to struggle.",3.0,"Devi opens the door, but someone jumps on her, causing her to struggle.",1
Masaan,Devi,female,Jhonta is also surprised by Devi’s reaction.,occupation_gap,"Jhonta is taken aback by Devi's reaction, but he quickly realizes that she has every right to be upset.",3.0,"Jhonta is taken aback by Devi's reaction, but he quickly realizes that she has every right to be upset.",1
Masaan,Devi,female,Devi looks at his sad face and manages a faint smile. Opens,agency_gap,"Devi, despite his sadness, forces a smile and opens",3.0,"Devi, despite his sadness, forces a smile and opens",1
Masaan,Devi,female,Devi is serving meal to Jhonta. She also sits alongside with,occupation_gap,Devi is serving Jhonta his meal and sitting beside him.,3.0,Devi is serving Jhonta his meal and sitting beside him.,1
Masaan,Devi,female,"Devi is in the corridor, making a call. The phone rings and",occupation_gap,"Devi is in the corridor, making a call. Suddenly, the phone rings and",3.0,"Devi is in the corridor, making a call. Suddenly, the phone rings and",1
Masaan,Devi,female,Devi shakes her head in frustration. Turns around to see,agency_gap,"Devi shakes her head in frustration, determined to find a solution.",3.0,"Devi shakes her head in frustration, determined to find a solution.",1
Masaan,Devi,female,Devi is confused about what he is talking.,intelligence_undermined,Devi is unsure about what he wants to say.,1.0,Devi is unsure about what he wants to say.,3
Masaan,Devi,female,the river. He comes out with mouthful of coins. Devi is gone,occupation_gap,"Devi has left, and he returns with a mouthful of coins.",3.0,"Devi has left, and he returns with a mouthful of coins.",1
Masaan,Devi,female,Devi is looking at her desktop screen. Allahabad university,occupation_gap,Devi is studying at Allahabad University.,3.0,Devi is studying at Allahabad University.,1
Masaan,Devi,female,jhola of books is still on his shoulders. (Devi is mindlessly,occupation_gap,"Devi is still carrying her books, determined to succeed despite the challenges.",3.0,"Devi is still carrying her books, determined to succeed despite the challenges.",1
Masaan,Devi,female,PATHAK is about to respond to this when Devi absentmindedly,occupation_gap,"Devi absentmindedly responds to this, while PATHAK watches.",3.0,"Devi absentmindedly responds to this, while PATHAK watches.",1
Masaan,Devi,female,keeps on observing Devi with a defeated look.,agency_gap,Devi continues to observe him with a determined look.,3.0,Devi continues to observe him with a determined look.,1
Masaan,Vibha ki,female,"Arre wo Sonal nahin hai, Vibha ki",relationship_only,Vibha is worried because Sonal is not there.,2.0,Vibha is worried because Sonal is not there.,2
Masaan,Devi,female,Devi is sitting at a small railway station - bags packed.,occupation_gap,"Devi is sitting at a small railway station, ready to embark on her journey with bags packed.",3.0,"Devi is sitting at a small railway station, ready to embark on her journey with bags packed.",1
Masaan,Devi,female,Devi is opening the letter and reading. It says ‘RAILWAY,occupation_gap,Devi is opening the letter and reading. It says 'Railway'.,3.0,Devi is opening the letter and reading. It says 'Railway'.,1
Masaan,Devi,female,He sees Devi is a bit confused. The room is being used as a,occupation_gap,Devi is a bit confused. She sees the room being used as,3.0,Devi is a bit confused. She sees the room being used as,1
Masaan,Babu ko jaana pada,male,Babu ko jaana pada computer ke,occupation_gap,,3.0,,1
Masaan,Devi,female,Devi is not responding to his talks beyond a nod of head. He,occupation_gap,"Devi seems uninterested in the discussions, preferring to remain silent.",3.0,"Devi seems uninterested in the discussions, preferring to remain silent.",1
Masaan,Devi,female,Devi is looking for a power-point. Finds a point close-by,occupation_gap,Devi searches for a nearby power point to charge her laptop.,3.0,Devi searches for a nearby power point to charge her laptop.,1
Masaan,Marion,female,"Sikandar, Marion, and her 3 white friends in a shack on the",occupation_gap,"Sikandar, Marion, and her friends in a shack on the",3.0,"Sikandar, Marion, and her friends in a shack on the",1
Masaan,Devi,female,Ticket window queue is long. Sadhya ji and Devi working,occupation_gap,"Sadhya ji and Devi are busy working at the ticket window, but the line is still long.",3.0,"Sadhya ji and Devi are busy working at the ticket window, but the line is still long.",1
Masaan,Kumar Shukla,male,Kumar Shukla) on his lap. Devi is already eating a paratha-,occupation_gap,Kumar Shukla) and Devi are sharing a meal on the couch.,3.0,Kumar Shukla) and Devi are sharing a meal on the couch.,1
Masaan,Devi,female,Devi is reading the ticket manual while eating too.,occupation_gap,Devi is studying the ticket manual while eating.,3.0,Devi is studying the ticket manual while eating.,1
Masaan,Devi,female,A train has pulled in. Devi looking at people getting on it.,occupation_gap,Devi observes people boarding the train.,3.0,Devi observes people boarding the train.,1
Masaan,Babu,male,"Jhonta is sitting with other kids. Babu, Munwa, Netwa, and",occupation_gap,"Jhonta is sitting with other kids, including Babu, Munwa, Netwa, and",3.0,"Jhonta is sitting with other kids, including Babu, Munwa, Netwa, and",1
Masaan,Devi,female,Walks in inside and finds Devi asleep on the chair only. Her,occupation_gap,Devi is asleep on the chair when the character walks in.,3.0,Devi is asleep on the chair when the character walks in.,1
Masaan,Devi,female,PATHAK wakes up to find Devi gone to work already.,occupation_gap,PATHAK wakes up to find Devi already at work.,3.0,PATHAK wakes up to find Devi already at work.,1
Masaan,Devi,female,Devi is by the counter. Relatively easy traffic day. A young,occupation_gap,Devi is at the counter. The traffic is manageable today. She's a young woman with ambition.,3.0,Devi is at the counter. The traffic is manageable today. She's a young woman with ambition.,1
Masaan,Devi,female,"Devi is sitting in front of the desktop, porn playing on it",objectification,,1.0,,3
Masaan,Devi,female,PATHAK wakes up to find Devi is gone. Goes to the kitchen and,occupation_gap,"PATHAK wakes up to find Devi is gone. He goes to the kitchen and starts making breakfast, determined to make it a special day for her.",3.0,"PATHAK wakes up to find Devi is gone. He goes to the kitchen and starts making breakfast, determined to make it a special day for her.",1
Masaan,Devi,female,Devi and Sadhya ji printing tickets hurriedly. Sadhya checks,occupation_gap,Devi and Sadhya are working together to print tickets efficiently. Sadhya checks,3.0,Devi and Sadhya are working together to print tickets efficiently. Sadhya checks,1
Masaan,Devi,female,Sadhya closes the window and looks at Devi who is still,occupation_gap,"Sadhya closes the window and looks at Devi, who is now working on her own business.",3.0,"Sadhya closes the window and looks at Devi, who is now working on her own business.",1
Masaan,Devi,female,Lunch time. Sadhya eating while reading a novel. Devi eating,occupation_gap,"Sadhya and Devi are enjoying their lunch break, each engrossed in their own activities - Sadhya reading a novel, and Devi working on her laptop.",3.0,"Sadhya and Devi are enjoying their lunch break, each engrossed in their own activities - Sadhya reading a novel, and Devi working on her laptop.",1
Masaan,Devi,female,Devi slides her chair forward and takes a couple of spoonfuls,occupation_gap,Devi moves her chair closer and takes a few bites,3.0,Devi moves her chair closer and takes a few bites,1
Masaan,Devi,female,Devi is looking for a cycle-rickshaw outside the railway,occupation_gap,Devi is searching for a cycle-rickshaw near the railway station.,3.0,Devi is searching for a cycle-rickshaw near the railway station.,1
Masaan,Devi,female,Devi is waiting with the scooter while Sadhya is buying,occupation_gap,Devi is patiently waiting for Sadhya to finish shopping.,3.0,Devi is patiently waiting for Sadhya to finish shopping.,1
Masaan,Devi,female,liquor from a wine shop across the road. Devi is wrapping,occupation_gap,Devi is buying liquor from a wine shop across the road.,3.0,Devi is buying liquor from a wine shop across the road.,1
Masaan,Devi,female,"Devi is sitting in the bus, in a pensive mood.",occupation_gap,"Devi is sitting in the bus, lost in thought.",3.0,"Devi is sitting in the bus, lost in thought.",1
Masaan,Devi,female,"PATHAK takes the plate silently, switches the TV off. Devi",occupation_gap,PATHAK takes the plate silently and switches off the TV. Devi,3.0,PATHAK takes the plate silently and switches off the TV. Devi,1
Masaan,Devi,female,- Sadhya opening the door for Devi.,occupation_gap,- Devi opens the door for Sadhya.,3.0,- Devi opens the door for Sadhya.,1
Masaan,Devi,female,Devi suddenly feeling unsure of herself. She looks at the,emotional_typecast,"Devi, who had always been confident, now felt unsure. She looked at the",1.0,"Devi, who had always been confident, now felt unsure. She looked at the",3
Masaan,Devi,female,hands and legs and kicking him ruthlessly. Devi is watching,objectification,Devi is watching as the character uses their hands and legs to kick the other character ruthlessly.,1.0,Devi is watching as the character uses their hands and legs to kick the other character ruthlessly.,3
Masaan,Devi,female,Devi is packing her bags at home. She picks up the still,occupation_gap,"Devi is packing her bags at home. She picks up the still, determined to pursue her dream of becoming a successful chef.",3.0,"Devi is packing her bags at home. She picks up the still, determined to pursue her dream of becoming a successful chef.",1
Masaan,Devi,female,Devi is in the train. PATHAK carrying Jhonta in his arms -,occupation_gap,Devi is in the train. She carries Jhonta in her arms -,3.0,Devi is in the train. She carries Jhonta in her arms -,1
Masaan,Devi,female,Devi is sitting in a lecture. Taking notes diligently.,occupation_gap,Devi is actively listening and taking notes in a lecture.,3.0,Devi is actively listening and taking notes in a lecture.,1
Masaan,Devi,female,Devi is in her small room. Looking out of the window at the,occupation_gap,"Devi is in her room, looking out the window at the",3.0,"Devi is in her room, looking out the window at the",1
Masaan,Devi,female,Devi is at a bus stop right across the university. She,occupation_gap,Devi is waiting at a bus stop near the university. She,3.0,Devi is waiting at a bus stop near the university. She,1
Masaan,Devi,female,"Devi standing in a middle-class housing lane, looking at a",occupation_gap,"Devi observing the housing lane, considering her options",3.0,"Devi observing the housing lane, considering her options",1
Masaan,Devi,female,"opens the door. We see Devi’s face, trying to introduce",occupation_gap,Devi opens the door and introduces herself.,3.0,Devi opens the door and introduces herself.,1
Masaan,Devi,female,"In an extreme long shot, we see Devi being slapped repeatedly",objectification,"Devi is shown being physically abused in a long shot""

Line: ""The camera pans over the male characters, highlighting their strength and power""
Rewritten",1.0,"Devi is shown being physically abused in a long shot""

Line: ""The camera pans over the male characters, highlighting their strength and power""
Rewritten",3
Masaan,Devi,female,Devi looks at Deepak for the first time.,relationship_only,Devi and Deepak meet for the first time.,2.0,Devi and Deepak meet for the first time.,2
Masaan,Devi,female,Deepak looks at Devi and she shrugs. Both get in the boat.,occupation_gap,Devi and Deepak get in the boat together.,3.0,Devi and Deepak get in the boat together.,1
Masaan,Devi,female,Devi is sitting at the edge of the boat. Deepak is looking,occupation_gap,"Devi is sitting at the edge of the boat, taking in the view. She turns to Deepak and asks, 'What do you see?'",3.0,"Devi is sitting at the edge of the boat, taking in the view. She turns to Deepak and asks, 'What do you see?'",1
Masaan,Devi,female,"approaching ghaat. Devi jumps out first, and as Deepak is",occupation_gap,"Devi jumps out first, and as Deepak follows, they both make their way towards the ghaat.",3.0,"Devi jumps out first, and as Deepak follows, they both make their way towards the ghaat.",1
NEERJA,Rajesh Khanna’s,male,follow her lead and shows them Rajesh Khanna’s steps. The,occupation_gap,"Rajesh Khanna’s steps are demonstrated by her, and she leads the group.",3.0,"Rajesh Khanna’s steps are demonstrated by her, and she leads the group.",1
NEERJA,Rajesh Khanna,male,dancing in the quintessential Rajesh Khanna style.,appearance_focus,dancing with grace and passion.,2.0,dancing with grace and passion.,2
NEERJA,Al Turk,male,A car comes to a halt near a market road. Al Turk,occupation_gap,Al Turk stops his car near the market road.,3.0,Al Turk stops his car near the market road.,1
NEERJA,Aneesh,male,Aneesh takes a ‘Stardust’ Magazine and begins flipping,occupation_gap,Aneesh picks up a magazine and starts flipping through it.,3.0,Aneesh picks up a magazine and starts flipping through it.,1
NEERJA,Tina,female,when they are interrupted by two young girls- Tina and,occupation_gap,Tina and the other girl interrupt them.,3.0,Tina and the other girl interrupt them.,1
NEERJA,Tina,female,She quickly turns to see Tina and Debina laughing at her,relationship_only,Tina and Debina notice her and start laughing,2.0,Tina and Debina notice her and start laughing,2
NEERJA,Neerja Bhanot,female,Hello. I am Neerja Bhanot and I am,occupation_gap,"Hello. I am Neerja Bhanot, a brave and determined flight attendant who",3.0,"Hello. I am Neerja Bhanot, a brave and determined flight attendant who",1
NEERJA,Gopal,male,Gopal is patiently waiting with his 5 month pregnant wife,occupation_gap,Gopal is patiently waiting with his partner who is 5 months pregnant,3.0,Gopal is patiently waiting with his partner who is 5 months pregnant,1
NEERJA,Babita,female,Babita as he watches people jostle to get out of the bus,occupation_gap,Babita observes the crowd as they struggle to exit the bus,3.0,Babita observes the crowd as they struggle to exit the bus,1
NEERJA,Rekha Desai,female,sister Rekha Desai and he is my,relationship_only,Rekha Desai and I are siblings,2.0,Rekha Desai and I are siblings,2
NEERJA,Hassan,male,The Hassan family are first people to board from the rear,occupation_gap,"The Hassan family are the first to board, regardless of their position in the queue.",3.0,"The Hassan family are the first to board, regardless of their position in the queue.",1
